game_id,date,player,team,points,rebounds,assists,steals,blocks
0,2026-07-29 16:28:20.379126,LeBron James,Lakers,32,3,2,1,2
0,2026-07-29 16:28:20.379126,Jayson Tatum,Celtics,29,7,2,1,0
1,2026-07-28 16:28:20.379136,Steph Curry,Warriors,12,12,9,0,1
1,2026-07-28 16:28:20.379136,Devin Booker,Suns,15,4,11,4,0
2,2026-07-27 16:28:20.379138,Jimmy Butler,Heat,11,2,5,2,0
2,2026-07-27 16:28:20.379138,Zach LaVine,Bulls,32,13,9,2,1
3,2026-07-26 16:28:20.379139,Zach LaVine,Bulls,10,11,8,2,0
3,2026-07-26 16:28:20.379139,Jimmy Butler,Heat,21,11,10,3,0
4,2026-07-25 16:28:20.379140,Devin Booker,Suns,37,5,8,4,0
4,2026-07-25 16:28:20.379140,LeBron James,Lakers,16,2,4,2,1
5,2026-07-24 16:28:20.379141,Jayson Tatum,Celtics,33,3,3,1,0
5,2026-07-24 16:28:20.379141,Steph Curry,Warriors,21,10,8,0,2
6,2026-07-23 16:28:20.379142,LeBron James,Lakers,19,3,9,3,0
6,2026-07-23 16:28:20.379142,Devin Booker,Suns,37,2,9,1,2
7,2026-07-22 16:28:20.379143,Steph Curry,Warriors,28,5,11,0,1
7,2026-07-22 16:28:20.379143,Jayson Tatum,Celtics,27,7,7,1,0
8,2026-07-21 16:28:20.379144,Jimmy Butler,Heat,30,2,9,1,2
8,2026-07-21 16:28:20.379144,LeBron James,Lakers,17,6,2,3,2
9,2026-07-20 16:28:20.379145,Zach LaVine,Bulls,25,7,4,2,0
9,2026-07-20 16:28:20.379145,Steph Curry,Warriors,20,6,9,0,0
